step,tot_E,a,m,acceptance,wall_density
0.0,-256.0,1.0,-1.0,7.8125e-05,0.0
12800.0,-180.0,0.703125,-0.3046875,0.196015625,0.26953125
25600.0,-204.0,0.796875,-0.0234375,0.2015625,0.1875
38400.0,-196.0,0.765625,-0.2421875,0.23515625,0.21484375
51200.0,-184.0,0.71875,0.0859375,0.24109375,0.265625
64000.0,-188.0,0.734375,0.2578125,0.22890625,0.2421875
76800.0,-196.0,0.765625,-0.28125,0.257734375,0.21484375
89600.0,-200.0,0.78125,-0.09375,0.22078125,0.20703125
102400.0,-192.0,0.75,-0.09375,0.2390625,0.23828125
115200.0,-196.0,0.765625,-0.015625,0.26890625,0.22265625
128000.0,-192.0,0.75,0.0390625,0.241796875,0.234375
140800.0,-192.0,0.75,0.0,0.221328125,0.23046875
153600.0,-212.0,0.828125,0.015625,0.234375,0.16015625
166400.0,-184.0,0.71875,-0.03125,0.25765625,0.26953125
179200.0,-204.0,0.796875,-0.1328125,0.231796875,0.1953125
192000.0,-192.0,0.75,-0.015625,0.226015625,0.23046875
204800.0,-196.0,0.765625,-0.2734375,0.239609375,0.2109375
217600.0,-200.0,0.78125,-0.09375,0.230703125,0.203125
230400.0,-188.0,0.734375,0.0625,0.238125,0.25
243200.0,-196.0,0.765625,-0.0078125,0.221953125,0.2265625
256000.0,-208.0,0.8125,-0.2265625,0.25203125,0.1796875
268800.0,-192.0,0.75,-0.078125,0.234140625,0.23828125
281600.0,-200.0,0.78125,0.0,0.26703125,0.20703125
294400.0,-192.0,0.75,0.0,0.26,0.22265625
307200.0,-192.0,0.75,-0.1875,0.2309375,0.2265625
320000.0,-192.0,0.75,0.0859375,0.243359375,0.23046875
332800.0,-196.0,0.765625,-0.140625,0.253984375,0.22265625
345600.0,-200.0,0.78125,0.015625,0.24625,0.21484375
358400.0,-208.0,0.8125,0.0078125,0.221953125,0.1875
371200.0,-200.0,0.78125,0.1484375,0.26,0.21484375
384000.0,-192.0,0.75,-0.171875,0.256640625,0.2265625
396800.0,-192.0,0.75,0.1484375,0.262265625,0.23046875
409600.0,-204.0,0.796875,0.140625,0.216015625,0.1875
422400.0,-192.0,0.75,0.4765625,0.229765625,0.23046875
435200.0,-212.0,0.828125,-0.0703125,0.22328125,0.171875
448000.0,-196.0,0.765625,0.1171875,0.24203125,0.21875
460800.0,-184.0,0.71875,-0.109375,0.233203125,0.27734375
473600.0,-192.0,0.75,-0.2265625,0.234140625,0.234375
486400.0,-192.0,0.75,0.0859375,0.235,0.2421875
499200.0,-212.0,0.828125,0.0390625,0.23609375,0.16796875
512000.0,-188.0,0.734375,-0.2109375,0.22734375,0.24609375
524800.0,-188.0,0.734375,-0.015625,0.226640625,0.24609375
537600.0,-200.0,0.78125,0.140625,0.2590625,0.203125
550400.0,-200.0,0.78125,0.078125,0.2634375,0.20703125
563200.0,-208.0,0.8125,0.265625,0.24703125,0.171875
576000.0,-184.0,0.71875,0.171875,0.228125,0.2578125
588800.0,-192.0,0.75,0.125,0.228125,0.2421875
601600.0,-208.0,0.8125,0.1640625,0.242578125,0.17578125
614400.0,-160.0,0.625,-0.0078125,0.23640625,0.33984375
627200.0,-196.0,0.765625,-0.1640625,0.241875,0.22265625
640000.0,-204.0,0.796875,-0.1875,0.251953125,0.1953125
652800.0,-204.0,0.796875,0.125,0.24921875,0.19140625
