k,time,m,m_std,a,a_std,wall_density,wall_density_std
0.5,4.073017597198486,-0.012239583333333331,0.02498060483868671,0.7623263888888888,0.0044801798772966615,0.22348090277777774,0.00402370010040687
0.5750750750750749,4.330803632736206,0.047135416666666666,0.02370532231840274,0.8168402777777777,0.004847414469378993,0.17456597222222225,0.004593462993519207
0.6501501501501501,4.171248435974121,0.055989583333333336,0.048845962836521914,0.8664930555555554,0.003233468390622025,0.12921006944444444,0.002915749380393825
0.7252252252252253,4.132059574127196,-0.019270833333333338,0.0751315822184674,0.8982638888888889,0.002386386723489096,0.09926215277777778,0.0022671583003035247
0.8003003003003003,4.120018005371094,0.04071180555555557,0.06840824988583641,0.9288194444444444,0.003595641513046221,0.07013888888888889,0.003493031496395789
0.8753753753753754,4.152489185333252,0.09010416666666668,0.11547337037042732,0.9489583333333332,0.002649724057651917,0.05043402777777777,0.0026574078225463315
0.9504504504504504,4.174853801727295,0.003472222222222241,0.13627717002720796,0.9574652777777778,0.0032169766048035387,0.04205729166666666,0.0031442485721449344
1.0255255255255256,4.1592819690704355,0.3101562500000001,0.14817702948929035,0.9746527777777776,0.0036688601331794726,0.025043402777777776,0.003615878464652147
1.1006006006006006,4.3029699325561515,0.3666666666666667,0.1918830034416908,0.9883680555555556,0.0034622507965555898,0.011414930555555557,0.003450854005423967
1.1756756756756757,4.348121643066406,-0.11623263888888885,0.2302435475022047,0.9946180555555556,0.001447031564787599,0.0053819444444444435,0.0014470315647875994
1.2507507507507507,4.085624694824219,-0.9961805555555556,0.0015687285081145775,0.9986111111111112,0.0005191284733308353,0.0013454861111111113,0.0004965443816068403
1.325825825825826,4.1965882778167725,0.11163194444444444,0.23846771179394846,0.9984375,0.0006316031901987858,0.0014756944444444446,0.0006217006231709324
1.400900900900901,4.2271854877471915,0.04652777777777777,0.2334109583557529,0.9972222222222222,0.001819874718369148,0.0027777777777777783,0.0018198747183691484
1.4759759759759756,4.089113712310791,0.9205729166666666,0.07878603612057097,0.9986111111111109,0.0012174641863420114,0.0013888888888888887,0.0012174641863420118
1.5510510510510511,4.0230374336242685,-1.0,0.0,1.0,0.0,0.0,0.0
1.6261261261261262,4.089651346206665,0.9979166666666666,0.0020833333333333324,0.9996527777777776,0.00034722222222222104,0.00034722222222222224,0.0003472222222222223
1.7012012012012012,4.206623554229736,-1.0,0.0,1.0,0.0,0.0,0.0
1.7762762762762765,4.205791234970094,-1.0,0.0,1.0,0.0,0.0,0.0
1.8513513513513515,4.274273633956908,-1.0,0.0,1.0,0.0,0.0,0.0
1.9264264264264264,4.1309430599212655,-1.0,0.0,1.0,0.0,0.0,0.0
2.0015015015015014,4.04899525642395,1.0,0.0,1.0,0.0,0.0,0.0
2.0765765765765765,4.045105218887328,1.0,0.0,1.0,0.0,0.0,0.0
2.151651651651652,4.037766695022583,1.0,0.0,1.0,0.0,0.0,0.0
2.226726726726727,4.056429624557495,-1.0,0.0,1.0,0.0,0.0,0.0
2.3018018018018016,4.072037696838379,-1.0,0.0,1.0,0.0,0.0,0.0
2.376876876876877,4.147336483001709,1.0,0.0,1.0,0.0,0.0,0.0
2.4519519519519517,4.3210229873657235,-1.0,0.0,1.0,0.0,0.0,0.0
2.5270270270270268,4.150741100311278,1.0,0.0,1.0,0.0,0.0,0.0
2.6021021021021022,4.163336753845215,1.0,0.0,1.0,0.0,0.0,0.0
2.6771771771771773,4.4226014614105225,1.0,0.0,1.0,0.0,0.0,0.0
2.7522522522522523,4.223328113555908,-1.0,0.0,1.0,0.0,0.0,0.0
2.8273273273273274,4.3334784507751465,1.0,0.0,1.0,0.0,0.0,0.0
2.9024024024024024,4.1234190464019775,-1.0,0.0,1.0,0.0,0.0,0.0
2.977477477477477,4.1232876777648935,1.0,0.0,1.0,0.0,0.0,0.0
3.0525525525525525,4.199201583862306,1.0,0.0,1.0,0.0,0.0,0.0
3.127627627627628,4.3346426486968985,-1.0,0.0,1.0,0.0,0.0,0.0
3.202702702702702,4.127091884613037,-1.0,0.0,1.0,0.0,0.0,0.0
3.2777777777777777,4.128825664520264,-1.0,0.0,1.0,0.0,0.0,0.0
3.3528528528528527,4.145219564437866,1.0,0.0,1.0,0.0,0.0,0.0
3.427927927927928,4.193532943725587,1.0,0.0,1.0,0.0,0.0,0.0
3.503003003003003,4.239205598831177,-1.0,0.0,1.0,0.0,0.0,0.0
3.578078078078078,4.22239351272583,-1.0,0.0,1.0,0.0,0.0,0.0
3.653153153153153,4.2055935859680185,1.0,0.0,1.0,0.0,0.0,0.0
3.728228228228229,4.2371015548706055,1.0,0.0,1.0,0.0,0.0,0.0
3.803303303303304,4.207448959350587,1.0,0.0,1.0,0.0,0.0,0.0
3.8783783783783785,4.132554531097412,-1.0,0.0,1.0,0.0,0.0,0.0
3.9534534534534536,4.123316764831543,-1.0,0.0,1.0,0.0,0.0,0.0
4.028528528528529,4.1651155948638925,-1.0,0.0,1.0,0.0,0.0,0.0
4.103603603603603,4.075775623321533,1.0,0.0,1.0,0.0,0.0,0.0
4.178678678678679,4.118500232696533,1.0,0.0,1.0,0.0,0.0,0.0
4.253753753753754,4.247779369354248,1.0,0.0,1.0,0.0,0.0,0.0
4.328828828828828,4.163596391677856,-1.0,0.0,1.0,0.0,0.0,0.0
4.403903903903903,4.224607706069946,-1.0,0.0,1.0,0.0,0.0,0.0
4.4789789789789785,4.2684340476989755,1.0,0.0,1.0,0.0,0.0,0.0
4.5540540540540535,4.106496095657349,1.0,0.0,1.0,0.0,0.0,0.0
4.629129129129129,4.145382642745972,-1.0,0.0,1.0,0.0,0.0,0.0
