step,tot_E,a,m,acceptance,wall_density
0.0,-312.45068359375,1.0,-1.0,7.8125e-05,0.0
12800.0,-297.8045349121094,0.953125,-0.96875,0.020625,0.05859375
25600.0,-307.5686340332031,0.984375,-0.9921875,0.017890625,0.01953125
38400.0,-297.80450439453125,0.953125,-0.9765625,0.02375,0.05859375
51200.0,-295.3634948730469,0.9453125,-0.9609375,0.01859375,0.0703125
64000.0,-292.9225158691406,0.9375,-0.9609375,0.0209375,0.078125
76800.0,-297.8045959472656,0.953125,-0.96875,0.018828125,0.05859375
89600.0,-297.8045654296875,0.953125,-0.9765625,0.020546875,0.05859375
102400.0,-288.0404357910156,0.921875,-0.9609375,0.02515625,0.09765625
115200.0,-285.5993957519531,0.9140625,-0.9375,0.024296875,0.11328125
128000.0,-307.56854248046875,0.984375,-0.9921875,0.018671875,0.01953125
140800.0,-288.0404968261719,0.921875,-0.9609375,0.025,0.09375
153600.0,-302.6865539550781,0.96875,-0.984375,0.019765625,0.0390625
166400.0,-292.92242431640625,0.9375,-0.96875,0.02328125,0.0703125
179200.0,-312.4506530761719,1.0,-1.0,0.0203125,0.0
192000.0,-302.6865234375,0.96875,-0.984375,0.0215625,0.0390625
204800.0,-297.804443359375,0.953125,-0.9765625,0.023984375,0.05859375
217600.0,-302.6864929199219,0.96875,-0.984375,0.022265625,0.0390625
230400.0,-288.04034423828125,0.921875,-0.953125,0.0240625,0.1015625
243200.0,-300.2452697753906,0.9609375,-0.9765625,0.024765625,0.05078125
256000.0,-302.6862487792969,0.96875,-0.984375,0.022578125,0.0390625
268800.0,-300.2452392578125,0.9609375,-0.96875,0.02859375,0.046875
281600.0,-297.8042297363281,0.953125,-0.9765625,0.026015625,0.05859375
294400.0,-307.568359375,0.984375,-0.9921875,0.0228125,0.01953125
307200.0,-285.5990905761719,0.9140625,-0.9453125,0.01828125,0.109375
320000.0,-290.48126220703125,0.9296875,-0.953125,0.020078125,0.09375
332800.0,-288.04034423828125,0.921875,-0.9609375,0.020859375,0.09765625
345600.0,-302.68646240234375,0.96875,-0.984375,0.020234375,0.0390625
358400.0,-292.9223327636719,0.9375,-0.96875,0.0178125,0.078125
371200.0,-280.7171936035156,0.8984375,-0.9453125,0.021015625,0.12890625
384000.0,-302.68634033203125,0.96875,-0.984375,0.018359375,0.0390625
396800.0,-295.36334228515625,0.9453125,-0.96875,0.020625,0.0703125
409600.0,-297.8043212890625,0.953125,-0.96875,0.02234375,0.05859375
422400.0,-273.3940734863281,0.875,-0.9375,0.02625,0.15625
435200.0,-312.450439453125,1.0,-1.0,0.02390625,0.0
448000.0,-288.0402526855469,0.921875,-0.953125,0.02765625,0.1015625
460800.0,-297.8045349121094,0.953125,-0.9765625,0.029765625,0.05859375
473600.0,-307.56854248046875,0.984375,-0.9921875,0.02328125,0.01953125
486400.0,-302.6864013671875,0.96875,-0.984375,0.018828125,0.0390625
499200.0,-312.45037841796875,1.0,-1.0,0.0225,0.0
512000.0,-290.4811706542969,0.9296875,-0.9609375,0.019609375,0.08984375
524800.0,-297.8042297363281,0.953125,-0.96875,0.025390625,0.0625
537600.0,-302.68634033203125,0.96875,-0.984375,0.01984375,0.0390625
550400.0,-302.6864929199219,0.96875,-0.984375,0.02609375,0.0390625
563200.0,-297.8044738769531,0.953125,-0.9765625,0.025703125,0.05859375
576000.0,-292.92242431640625,0.9375,-0.96875,0.018984375,0.07421875
588800.0,-312.4506530761719,1.0,-1.0,0.0225,0.0
601600.0,-312.4507141113281,1.0,-1.0,0.02140625,0.0
614400.0,-297.8045654296875,0.953125,-0.9765625,0.018203125,0.05859375
627200.0,-302.686767578125,0.96875,-0.984375,0.025234375,0.0390625
640000.0,-302.6867980957031,0.96875,-0.984375,0.01984375,0.0390625
652800.0,-292.9226989746094,0.9375,-0.9609375,0.023828125,0.078125
665600.0,-302.686767578125,0.96875,-0.984375,0.022890625,0.0390625
