step,tot_E,a,m,acceptance,wall_density
0.0,-4.002363204956055,0.015625,-0.03125,7.8125e-05,0.9375
12800.0,-190.11221313476562,0.7421875,0.7734375,0.106171875,0.33203125
25600.0,-228.1344757080078,0.890625,0.9296875,0.06734375,0.140625
38400.0,-236.13909912109375,0.921875,0.9609375,0.06453125,0.09765625
51200.0,-238.14036560058594,0.9296875,0.953125,0.087578125,0.09375
64000.0,-224.13214111328125,0.875,0.9296875,0.082421875,0.16015625
76800.0,-220.12962341308594,0.859375,0.921875,0.083046875,0.1796875
89600.0,-208.12254333496094,0.8125,0.8828125,0.063359375,0.23046875
102400.0,-212.12496948242188,0.828125,0.890625,0.093984375,0.21484375
115200.0,-224.13226318359375,0.875,0.921875,0.084375,0.15625
128000.0,-218.1286163330078,0.8515625,0.890625,0.068125,0.203125
140800.0,-230.1357421875,0.8984375,0.9453125,0.075703125,0.11328125
153600.0,-220.12973022460938,0.859375,0.90625,0.084140625,0.17578125
166400.0,-248.14622497558594,0.96875,0.984375,0.08140625,0.0390625
179200.0,-232.13687133789062,0.90625,0.9453125,0.073203125,0.11328125
192000.0,-176.10382080078125,0.6875,0.78125,0.077109375,0.3828125
204800.0,-220.1297149658203,0.859375,0.890625,0.081875,0.17578125
217600.0,-216.12741088867188,0.84375,0.8828125,0.076015625,0.19921875
230400.0,-226.1333770751953,0.8828125,0.890625,0.095546875,0.140625
243200.0,-240.14161682128906,0.9375,0.96875,0.07875,0.078125
256000.0,-218.12875366210938,0.8515625,0.90625,0.080625,0.1875
268800.0,-212.12535095214844,0.828125,0.890625,0.083125,0.20703125
281600.0,-198.11709594726562,0.7734375,0.8515625,0.092421875,0.28125
294400.0,-220.12998962402344,0.859375,0.9140625,0.085625,0.171875
307200.0,-230.13597106933594,0.8984375,0.9375,0.069765625,0.12109375
320000.0,-226.13356018066406,0.8828125,0.9375,0.07484375,0.1484375
332800.0,-230.13584899902344,0.8984375,0.921875,0.094375,0.1328125
345600.0,-202.11940002441406,0.7890625,0.8828125,0.077109375,0.25390625
358400.0,-184.1088409423828,0.71875,0.7421875,0.08109375,0.3515625
371200.0,-226.13360595703125,0.8828125,0.9296875,0.07015625,0.1484375
384000.0,-240.14161682128906,0.9375,0.96875,0.081328125,0.0703125
396800.0,-226.13327026367188,0.8828125,0.9375,0.0809375,0.140625
409600.0,-210.1238250732422,0.8203125,0.875,0.06546875,0.23828125
422400.0,-210.12380981445312,0.8203125,0.84375,0.10953125,0.23828125
435200.0,-232.13665771484375,0.90625,0.9453125,0.063671875,0.12109375
448000.0,-232.1366729736328,0.90625,0.9296875,0.089375,0.1171875
460800.0,-212.12478637695312,0.828125,0.8828125,0.06625,0.2265625
473600.0,-234.13792419433594,0.9140625,0.9453125,0.07015625,0.109375
486400.0,-234.13780212402344,0.9140625,0.953125,0.084609375,0.109375
499200.0,-238.14007568359375,0.9296875,0.9609375,0.075703125,0.08203125
512000.0,-204.12010192871094,0.796875,0.875,0.103359375,0.25390625
524800.0,-224.13174438476562,0.875,0.921875,0.08828125,0.14453125
537600.0,-216.12692260742188,0.84375,0.90625,0.07640625,0.1875
550400.0,-236.1387481689453,0.921875,0.953125,0.0753125,0.09375
563200.0,-236.13858032226562,0.921875,0.953125,0.0834375,0.1015625
576000.0,-226.1328125,0.8828125,0.9296875,0.081953125,0.15234375
588800.0,-220.12933349609375,0.859375,0.921875,0.076171875,0.16796875
601600.0,-234.1375274658203,0.9140625,0.953125,0.07328125,0.109375
614400.0,-230.13510131835938,0.8984375,0.9296875,0.084296875,0.13671875
627200.0,-224.13128662109375,0.875,0.9140625,0.09453125,0.1640625
640000.0,-242.14198303222656,0.9453125,0.96875,0.085078125,0.0703125
652800.0,-222.130126953125,0.8671875,0.875,0.08203125,0.18359375
665600.0,-224.13124084472656,0.875,0.875,0.0865625,0.15625
678400.0,-224.13137817382812,0.875,0.9140625,0.078359375,0.1640625
691200.0,-218.1277618408203,0.8515625,0.90625,0.091171875,0.1875
704000.0,-228.13372802734375,0.890625,0.9375,0.08046875,0.1328125
716800.0,-236.13832092285156,0.921875,0.953125,0.076875,0.09765625
729600.0,-220.1289825439453,0.859375,0.9140625,0.078984375,0.16796875
742400.0,-212.1242218017578,0.828125,0.8125,0.081640625,0.23046875
755200.0,-224.1312255859375,0.875,0.90625,0.075,0.1640625
768000.0,-244.14317321777344,0.953125,0.9765625,0.075703125,0.05859375
780800.0,-222.13026428222656,0.8671875,0.9140625,0.06890625,0.1640625
793600.0,-218.1278533935547,0.8515625,0.9140625,0.09078125,0.1875
