step,tot_E,a,m,acceptance,wall_density
0.0,-83.20655059814453,1.0,1.0,0.0003125,0.0
3200.0,-70.77069091796875,0.84375,0.875,0.035,0.203125
6400.0,-83.20655059814453,1.0,1.0,0.02625,0.0
9600.0,-83.20654296875,1.0,1.0,0.0275,0.0
12800.0,-83.20654296875,1.0,1.0,0.038125,0.0
16000.0,-83.20654296875,1.0,1.0,0.023125,0.0
19200.0,-75.97108459472656,0.90625,0.9375,0.025625,0.125
22400.0,-69.30079650878906,0.8125,0.90625,0.0246875,0.203125
25600.0,-83.20654296875,1.0,1.0,0.0246875,0.0
28800.0,-78.57130432128906,0.9375,0.96875,0.0228125,0.078125
32000.0,-83.20655059814453,1.0,1.0,0.0215625,0.0
35200.0,-83.20655059814453,1.0,1.0,0.0175,0.0
38400.0,-78.57130432128906,0.9375,0.96875,0.0328125,0.078125
41600.0,-83.20655059814453,1.0,1.0,0.0234375,0.0
44800.0,-78.57130432128906,0.9375,0.96875,0.0184375,0.078125
48000.0,-78.57130432128906,0.9375,0.96875,0.035,0.078125
51200.0,-83.20655059814453,1.0,1.0,0.0296875,0.0
54400.0,-83.20655059814453,1.0,1.0,0.028125,0.0
57600.0,-78.57130432128906,0.9375,0.96875,0.0215625,0.078125
60800.0,-83.20655059814453,1.0,1.0,0.0284375,0.0
64000.0,-83.20655059814453,1.0,1.0,0.024375,0.0
67200.0,-71.33585357666016,0.84375,0.90625,0.0253125,0.203125
70400.0,-78.57130432128906,0.9375,0.96875,0.0325,0.078125
73600.0,-78.57130432128906,0.9375,0.96875,0.034375,0.078125
76800.0,-78.57129669189453,0.9375,0.96875,0.033125,0.078125
80000.0,-83.20654296875,1.0,1.0,0.0234375,0.0
83200.0,-83.20654296875,1.0,1.0,0.02125,0.0
86400.0,-73.93605041503906,0.875,0.9375,0.028125,0.15625
89600.0,-83.20654296875,1.0,1.0,0.029375,0.0
92800.0,-64.66555786132812,0.75,0.875,0.030625,0.28125
96000.0,-83.20654296875,1.0,1.0,0.029375,0.0
99200.0,-83.20654296875,1.0,1.0,0.035625,0.0
102400.0,-83.20654296875,1.0,1.0,0.028125,0.0
105600.0,-71.33584594726562,0.84375,0.90625,0.0209375,0.171875
108800.0,-83.20655059814453,1.0,1.0,0.0340625,0.0
112000.0,-78.57130432128906,0.9375,0.96875,0.0315625,0.078125
115200.0,-83.20655822753906,1.0,1.0,0.0328125,0.0
118400.0,-78.5713119506836,0.9375,0.96875,0.0296875,0.078125
121600.0,-83.20655822753906,1.0,1.0,0.0265625,0.0
124800.0,-83.20655822753906,1.0,1.0,0.020625,0.0
