step,tot_E,a,m,acceptance,wall_density
0.0,-69.40204620361328,0.875,-1.0,0.0003125,0.4375
3200.0,-60.726806640625,0.765625,-0.90625,0.0690625,0.546875
6400.0,-64.44479370117188,0.8125,-0.90625,0.09,0.46875
9600.0,-65.68411254882812,0.828125,-0.96875,0.08375,0.453125
12800.0,-57.008853912353516,0.71875,-0.8125,0.0871875,0.53125
16000.0,-64.4448013305664,0.8125,-0.9375,0.104375,0.46875
19200.0,-66.92344665527344,0.84375,-0.96875,0.0934375,0.4375
22400.0,-66.9234390258789,0.84375,-0.96875,0.058125,0.4375
25600.0,-65.68417358398438,0.828125,-0.9375,0.0678125,0.453125
28800.0,-57.008914947509766,0.71875,-0.75,0.079375,0.59375
32000.0,-69.40213775634766,0.875,-1.0,0.098125,0.4375
35200.0,-53.290977478027344,0.671875,-0.84375,0.0834375,0.53125
38400.0,-69.40216827392578,0.875,-1.0,0.0690625,0.4375
41600.0,-55.76964569091797,0.703125,-0.84375,0.0828125,0.515625
44800.0,-57.00899124145508,0.71875,-0.90625,0.11625,0.546875
48000.0,-65.68427276611328,0.828125,-0.9375,0.0853125,0.453125
51200.0,-60.72697067260742,0.765625,-0.75,0.065625,0.53125
54400.0,-64.4449462890625,0.8125,-0.96875,0.0909375,0.5
57600.0,-39.658512115478516,0.5,-0.40625,0.10625,0.703125
60800.0,-69.40223693847656,0.875,-1.0,0.0896875,0.4375
64000.0,-53.29108428955078,0.671875,-0.84375,0.0796875,0.515625
67200.0,-61.96631622314453,0.78125,-0.9375,0.0821875,0.46875
70400.0,-52.05176544189453,0.65625,-0.71875,0.1078125,0.546875
73600.0,-65.68431854248047,0.828125,-0.96875,0.106875,0.453125
76800.0,-61.96632385253906,0.78125,-0.875,0.0828125,0.484375
80000.0,-64.44498443603516,0.8125,-0.96875,0.0565625,0.484375
83200.0,-64.44499206542969,0.8125,-0.96875,0.065625,0.5
86400.0,-66.92365264892578,0.84375,-0.96875,0.1,0.4375
89600.0,-65.68433380126953,0.828125,-0.9375,0.0778125,0.453125
92800.0,-61.966392517089844,0.78125,-0.9375,0.080625,0.46875
96000.0,-50.8125,0.640625,0.78125,0.1009375,0.5625
99200.0,-57.00910186767578,0.71875,0.8125,0.1178125,0.53125
102400.0,-69.40232849121094,0.875,1.0,0.075625,0.4375
105600.0,-61.9664192199707,0.78125,0.9375,0.079375,0.46875
108800.0,-54.5305061340332,0.6875,0.90625,0.0834375,0.625
112000.0,-61.96646499633789,0.78125,0.90625,0.079375,0.46875
115200.0,-64.44512176513672,0.8125,0.96875,0.075625,0.5
118400.0,-69.40241241455078,0.875,1.0,0.0671875,0.4375
121600.0,-69.40241241455078,0.875,1.0,0.074375,0.4375
124800.0,-60.7271842956543,0.765625,0.875,0.075,0.515625
128000.0,-69.4024429321289,0.875,1.0,0.10625,0.4375
131200.0,-52.05192565917969,0.65625,0.8125,0.1,0.546875
134400.0,-57.00920486450195,0.71875,0.53125,0.1221875,0.609375
137600.0,-61.96647644042969,0.78125,0.9375,0.1028125,0.46875
140800.0,-65.68445587158203,0.828125,0.96875,0.0809375,0.453125
144000.0,-54.53055953979492,0.6875,0.75,0.0809375,0.578125
147200.0,-59.487831115722656,0.75,0.90625,0.0646875,0.5
150400.0,-58.248512268066406,0.734375,0.875,0.0815625,0.484375
153600.0,-69.40241241455078,0.875,1.0,0.07,0.4375
156800.0,-61.966514587402344,0.78125,0.9375,0.065625,0.46875
160000.0,-64.44522094726562,0.8125,0.9375,0.068125,0.46875
163200.0,-58.248619079589844,0.734375,-0.8125,0.141875,0.546875
166400.0,-69.40250396728516,0.875,-1.0,0.058125,0.4375
169600.0,-64.44525146484375,0.8125,-0.9375,0.066875,0.46875
172800.0,-69.40254974365234,0.875,-1.0,0.10125,0.4375
176000.0,-63.205909729003906,0.796875,-0.875,0.078125,0.484375
179200.0,-45.8553466796875,0.578125,-0.28125,0.1021875,0.671875
182400.0,-61.96653747558594,0.78125,-0.9375,0.1221875,0.546875
185600.0,-50.81264114379883,0.640625,-0.78125,0.0696875,0.609375
188800.0,-57.00925827026367,0.71875,-0.90625,0.09375,0.53125
192000.0,-64.44518280029297,0.8125,-0.9375,0.0721875,0.4375
195200.0,-69.40248107910156,0.875,-1.0,0.07375,0.4375
198400.0,-58.24858093261719,0.734375,-0.84375,0.0878125,0.484375
201600.0,-54.53059768676758,0.6875,-0.78125,0.07375,0.5625
204800.0,-54.53059387207031,0.6875,-0.84375,0.091875,0.546875
208000.0,-53.29128646850586,0.671875,-0.78125,0.081875,0.5625
211200.0,-64.4452133178711,0.8125,-0.96875,0.091875,0.515625
214400.0,-60.72720718383789,0.765625,-0.9375,0.0965625,0.515625
217600.0,-59.48786926269531,0.75,-0.90625,0.0815625,0.59375
220800.0,-59.48786926269531,0.75,-0.875,0.0871875,0.46875
